id,referencia,poliza_id,vehiculo_id,asegurado_id,fecha_siniestro,lugar,responsable,importe_estimada,estado,Nombre,Apellido
29,SIN000029,5,5,5,2022-04-16,Barcelona,True,5179.61,ABIERTA,Jan,Pereira
30,SIN000030,5,5,5,2023-08-30,Barcelona,True,6787.63,ABIERTA,Jan,Pereira
31,SIN000031,5,5,5,2023-06-29,Barcelona,True,5579.28,ABIERTA,Jan,Pereira
32,SIN000032,5,5,5,2020-06-19,Madrid,True,7695.42,EN_TRAMITE,Jan,Pereira
33,SIN000033,5,5,5,2023-10-12,Barcelona,True,4838.31,EN_TRAMITE,Jan,Pereira
34,SIN000034,5,5,5,2024-04-11,Valencia,True,5312.02,EN_TRAMITE,Jan,Pereira
35,SIN000035,6,6,6,2024-07-05,Barcelona,True,4165.38,EN_TRAMITE,Jan,Pereira
36,SIN000036,6,6,6,2023-05-11,Madrid,True,4561.83,EN_TRAMITE,Jan,Pereira
37,SIN000037,6,6,6,2022-06-25,Valencia,True,6312.22,EN_TRAMITE,Jan,Pereira
38,SIN000038,6,6,6,2022-05-30,Madrid,True,6962.52,ABIERTA,Jan,Pereira
39,SIN000039,6,6,6,2022-05-21,Barcelona,True,6375.04,ABIERTA,Jan,Pereira
40,SIN000040,6,6,6,2023-04-22,Barcelona,True,7916.96,ABIERTA,Jan,Pereira
41,SIN000041,6,6,6,2023-07-12,Barcelona,True,4159.23,ABIERTA,Jan,Pereira
42,SIN000042,6,6,6,2020-09-15,Madrid,True,6060.83,ABIERTA,Jan,Pereira
43,SIN000043,7,7,7,2020-02-14,Barcelona,True,4126.77,EN_TRAMITE,Jan,Pereira
44,SIN000044,7,7,7,2023-05-25,Valencia,True,5314.99,EN_TRAMITE,Jan,Pereira
45,SIN000045,7,7,7,2023-05-21,Barcelona,True,7635.78,ABIERTA,Jan,Pereira
46,SIN000046,7,7,7,2023-12-21,Valencia,True,5937.86,ABIERTA,Jan,Pereira
47,SIN000047,7,7,7,2021-12-06,Valencia,True,4990.02,ABIERTA,Jan,Pereira
48,SIN000048,7,7,7,2021-04-21,Valencia,True,4396.99,EN_TRAMITE,Jan,Pereira
49,SIN000049,7,7,7,2024-08-24,Barcelona,True,6729.51,ABIERTA,Jan,Pereira
50,SIN000050,7,7,7,2020-10-15,Valencia,True,4507.24,EN_TRAMITE,Jan,Pereira
51,SIN000051,8,8,8,2023-04-23,Madrid,True,5975.75,EN_TRAMITE,Jan,Pereira
52,SIN000052,8,8,8,2020-08-01,Barcelona,True,4526.14,ABIERTA,Jan,Pereira
53,SIN000053,8,8,8,2020-09-09,Madrid,True,4962.73,EN_TRAMITE,Jan,Pereira
54,SIN000054,8,8,8,2024-09-11,Barcelona,True,6544.21,EN_TRAMITE,Jan,Pereira
55,SIN000055,8,8,8,2021-01-11,Barcelona,True,5162.34,ABIERTA,Jan,Pereira
56,SIN000056,8,8,8,2023-01-10,Barcelona,True,4944.91,EN_TRAMITE,Jan,Pereira
57,SIN000057,9,9,9,2023-09-06,Valencia,True,4809.26,ABIERTA,Jan,Pereira
58,SIN000058,9,9,9,2022-08-09,Madrid,True,6424.11,EN_TRAMITE,Jan,Pereira
59,SIN000059,9,9,9,2023-06-09,Valencia,True,6296.29,ABIERTA,Jan,Pereira
60,SIN000060,9,9,9,2024-01-15,Valencia,True,6740.04,EN_TRAMITE,Jan,Pereira
61,SIN000061,9,9,9,2024-09-13,Valencia,True,6536.23,EN_TRAMITE,Jan,Pereira
62,SIN000062,9,9,9,2020-04-30,Valencia,True,5436.41,ABIERTA,Jan,Pereira
63,SIN000063,9,9,9,2022-02-22,Valencia,True,7206.23,ABIERTA,Jan,Pereira
64,SIN000064,10,10,10,2020-02-24,Barcelona,True,6291.6,ABIERTA,Jan,Pereira
65,SIN000065,10,10,10,2020-12-13,Madrid,True,7123.17,EN_TRAMITE,Jan,Pereira
66,SIN000066,10,10,10,2023-10-22,Valencia,True,4907.16,EN_TRAMITE,Jan,Pereira
67,SIN000067,10,10,10,2022-11-17,Barcelona,True,3933.62,ABIERTA,Jan,Pereira
68,SIN000068,10,10,10,2024-10-26,Valencia,True,6867.77,EN_TRAMITE,Jan,Pereira
69,SIN000069,11,11,11,2024-01-29,Barcelona,True,4935.85,ABIERTA,Jan,Pereira
70,SIN000070,11,11,11,2023-05-23,Barcelona,True,5421.63,ABIERTA,Jan,Pereira
71,SIN000071,11,11,11,2020-06-18,Valencia,True,3768.95,EN_TRAMITE,Jan,Pereira
72,SIN000072,11,11,11,2021-08-23,Madrid,True,5093.47,ABIERTA,Jan,Pereira
73,SIN000073,11,11,11,2021-01-03,Madrid,True,5534.53,EN_TRAMITE,Jan,Pereira
74,SIN000074,11,11,11,2024-07-07,Valencia,True,4257.49,EN_TRAMITE,Jan,Pereira
75,SIN000075,11,11,11,2024-04-04,Barcelona,True,6629.45,ABIERTA,Jan,Pereira
76,SIN000076,12,12,12,2023-07-24,Barcelona,True,4954.89,ABIERTA,Jan,Pereira
77,SIN000077,12,12,12,2021-07-08,Barcelona,True,6482.71,ABIERTA,Jan,Pereira
78,SIN000078,12,12,12,2021-11-08,Madrid,True,5990.99,EN_TRAMITE,Jan,Pereira
79,SIN000079,12,12,12,2023-10-30,Barcelona,True,5478.28,ABIERTA,Jan,Pereira
80,SIN000080,12,12,12,2024-02-08,Barcelona,True,4261.64,EN_TRAMITE,Jan,Pereira
81,SIN000081,12,12,12,2021-11-25,Valencia,True,5748.08,ABIERTA,Jan,Pereira
82,SIN000082,12,12,12,2023-10-20,Valencia,True,3563.21,EN_TRAMITE,Jan,Pereira
83,SIN000083,12,12,12,2023-09-30,Valencia,True,7145.76,ABIERTA,Jan,Pereira
84,SIN000084,12,12,12,2023-05-08,Madrid,True,3983.26,ABIERTA,Jan,Pereira
85,SIN000085,13,13,13,2022-08-05,Valencia,True,4852.12,ABIERTA,Jan,Pereira
86,SIN000086,13,13,13,2022-07-12,Madrid,True,4089.74,ABIERTA,Jan,Pereira
87,SIN000087,13,13,13,2020-12-25,Valencia,True,6506.39,EN_TRAMITE,Jan,Pereira
88,SIN000088,13,13,13,2022-07-02,Madrid,True,3808.88,ABIERTA,Jan,Pereira
89,SIN000089,13,13,13,2020-08-16,Madrid,True,5400.18,EN_TRAMITE,Jan,Pereira
90,SIN000090,13,13,13,2024-11-17,Barcelona,True,4411.64,ABIERTA,Jan,Pereira
91,SIN000091,13,13,13,2021-02-25,Madrid,True,6824.86,EN_TRAMITE,Jan,Pereira
92,SIN000092,13,13,13,2023-04-16,Madrid,True,4049.28,EN_TRAMITE,Jan,Pereira
93,SIN000093,14,14,14,2021-03-03,Madrid,True,7568.3,ABIERTA,Jan,Pereira
94,SIN000094,14,14,14,2022-09-13,Madrid,True,6252.54,EN_TRAMITE,Jan,Pereira
95,SIN000095,14,14,14,2022-12-14,Valencia,True,6939.11,ABIERTA,Jan,Pereira
96,SIN000096,14,14,14,2023-08-10,Valencia,True,5184.53,ABIERTA,Jan,Pereira
97,SIN000097,14,14,14,2021-02-18,Madrid,True,7569.48,ABIERTA,Jan,Pereira
98,SIN000098,14,14,14,2021-10-22,Madrid,True,7317.79,ABIERTA,Jan,Pereira
99,SIN000099,14,14,14,2022-06-16,Madrid,True,6466.2,ABIERTA,Jan,Pereira
100,SIN000100,15,15,15,2020-06-14,Barcelona,True,5237.68,ABIERTA,Jan,Pereira
101,SIN000101,15,15,15,2024-03-04,Barcelona,True,6592.98,ABIERTA,Jan,Pereira
102,SIN000102,15,15,15,2022-04-19,Madrid,True,4273.62,ABIERTA,Jan,Pereira
103,SIN000103,15,15,15,2024-07-23,Valencia,True,4119.82,ABIERTA,Jan,Pereira
104,SIN000104,15,15,15,2021-01-08,Barcelona,True,5969.55,ABIERTA,Jan,Pereira
105,SIN000105,16,16,16,2021-08-31,Valencia,True,4152.73,EN_TRAMITE,Jan,Pereira
106,SIN000106,16,16,16,2022-12-02,Valencia,True,4233.78,EN_TRAMITE,Jan,Pereira
107,SIN000107,16,16,16,2023-02-04,Madrid,True,6444.52,EN_TRAMITE,Jan,Pereira
108,SIN000108,16,16,16,2022-11-27,Barcelona,True,6961.98,EN_TRAMITE,Jan,Pereira
109,SIN000109,16,16,16,2022-10-03,Valencia,True,4975.34,EN_TRAMITE,Jan,Pereira
110,SIN000110,17,17,17,2020-09-30,Madrid,True,6143.34,EN_TRAMITE,Jan,Pereira
111,SIN000111,17,17,17,2024-02-22,Barcelona,True,4032.87,ABIERTA,Jan,Pereira
112,SIN000112,17,17,17,2024-10-08,Barcelona,True,4864.75,EN_TRAMITE,Jan,Pereira
113,SIN000113,17,17,17,2024-12-27,Barcelona,True,7338.19,EN_TRAMITE,Jan,Pereira
114,SIN000114,17,17,17,2022-05-27,Madrid,True,7377.74,ABIERTA,Jan,Pereira
115,SIN000115,18,18,18,2020-02-05,Valencia,True,7800.83,ABIERTA,Jan,Pereira
116,SIN000116,18,18,18,2024-03-25,Madrid,True,7647.94,ABIERTA,Jan,Pereira
117,SIN000117,18,18,18,2024-07-12,Madrid,True,6803.89,EN_TRAMITE,Jan,Pereira
118,SIN000118,18,18,18,2023-11-27,Madrid,True,3513.17,EN_TRAMITE,Jan,Pereira
119,SIN000119,18,18,18,2023-03-31,Valencia,True,3746.1,EN_TRAMITE,Jan,Pereira
120,SIN000120,18,18,18,2022-05-06,Valencia,True,4861.29,EN_TRAMITE,Jan,Pereira
121,SIN000121,18,18,18,2023-07-19,Barcelona,True,7475.14,ABIERTA,Jan,Pereira
122,SIN000122,18,18,18,2020-11-26,Valencia,True,6272.19,EN_TRAMITE,Jan,Pereira
123,SIN000123,19,19,19,2023-05-03,Valencia,True,4245.56,ABIERTA,Jan,Pereira
124,SIN000124,19,19,19,2021-05-04,Valencia,True,3660.0,ABIERTA,Jan,Pereira
125,SIN000125,19,19,19,2024-02-03,Barcelona,True,4456.63,ABIERTA,Jan,Pereira
126,SIN000126,19,19,19,2020-01-12,Valencia,True,4349.01,EN_TRAMITE,Jan,Pereira
127,SIN000127,19,19,19,2024-02-24,Valencia,True,6916.01,EN_TRAMITE,Jan,Pereira
128,SIN000128,19,19,19,2023-10-24,Valencia,True,5472.13,ABIERTA,Jan,Pereira
129,SIN000129,19,19,19,2024-09-20,Madrid,True,6659.66,EN_TRAMITE,Jan,Pereira
130,SIN000130,20,20,20,2024-12-31,Madrid,True,6810.46,EN_TRAMITE,Jan,Pereira
131,SIN000131,20,20,20,2024-03-25,Valencia,True,7282.84,EN_TRAMITE,Jan,Pereira
132,SIN000132,20,20,20,2024-11-25,Madrid,True,4667.74,EN_TRAMITE,Jan,Pereira
133,SIN000133,20,20,20,2023-04-03,Madrid,True,5646.44,ABIERTA,Jan,Pereira
134,SIN000134,20,20,20,2020-04-08,Madrid,True,5023.74,EN_TRAMITE,Jan,Pereira
135,SIN000135,20,20,20,2023-01-07,Barcelona,True,7251.42,ABIERTA,Jan,Pereira
136,SIN000136,20,20,20,2024-07-09,Madrid,True,3925.49,ABIERTA,Jan,Pereira
137,SIN000137,20,20,20,2024-04-30,Madrid,True,6346.97,EN_TRAMITE,Jan,Pereira
138,SIN000138,20,20,20,2022-08-02,Madrid,True,6630.66,EN_TRAMITE,Jan,Pereira
139,SIN000139,20,20,20,2022-05-01,Madrid,True,3981.13,EN_TRAMITE,Jan,Pereira
140,SIN000140,21,21,21,2022-03-17,Valencia,True,4493.46,ABIERTA,Jan,Pereira
141,SIN000141,21,21,21,2023-10-29,Barcelona,True,4143.76,EN_TRAMITE,Jan,Pereira
142,SIN000142,21,21,21,2020-02-06,Madrid,True,7811.35,EN_TRAMITE,Jan,Pereira
143,SIN000143,21,21,21,2024-06-27,Valencia,True,6188.71,ABIERTA,Jan,Pereira
144,SIN000144,21,21,21,2023-10-05,Madrid,True,4347.63,ABIERTA,Jan,Pereira
145,SIN000145,21,21,21,2020-11-17,Valencia,True,4019.95,ABIERTA,Jan,Pereira
146,SIN000146,21,21,21,2021-12-22,Valencia,True,3701.86,EN_TRAMITE,Jan,Pereira
147,SIN000147,21,21,21,2024-04-15,Barcelona,True,3958.29,EN_TRAMITE,Jan,Pereira
148,SIN000148,21,21,21,2024-10-02,Madrid,True,6240.54,ABIERTA,Jan,Pereira
149,SIN000149,22,22,22,2020-04-15,Barcelona,True,6082.4,ABIERTA,Jan,Pereira
150,SIN000150,22,22,22,2023-04-09,Barcelona,True,4817.5,ABIERTA,Jan,Pereira
151,SIN000151,22,22,22,2020-11-11,Barcelona,True,7884.34,EN_TRAMITE,Jan,Pereira
152,SIN000152,22,22,22,2023-10-28,Madrid,True,6636.43,EN_TRAMITE,Jan,Pereira
153,SIN000153,22,22,22,2023-07-25,Barcelona,True,5871.46,ABIERTA,Jan,Pereira
154,SIN000154,22,22,22,2021-12-19,Barcelona,True,4366.21,EN_TRAMITE,Jan,Pereira
155,SIN000155,22,22,22,2020-05-12,Madrid,True,5091.27,EN_TRAMITE,Jan,Pereira
156,SIN000156,22,22,22,2023-05-05,Valencia,True,3926.41,ABIERTA,Jan,Pereira
157,SIN000157,23,23,23,2024-06-22,Madrid,True,7012.51,EN_TRAMITE,Jan,Pereira
158,SIN000158,23,23,23,2024-01-14,Barcelona,True,7206.42,EN_TRAMITE,Jan,Pereira
159,SIN000159,23,23,23,2020-06-20,Barcelona,True,7648.53,ABIERTA,Jan,Pereira
160,SIN000160,23,23,23,2022-08-22,Valencia,True,6173.73,ABIERTA,Jan,Pereira
161,SIN000161,23,23,23,2024-07-08,Madrid,True,3866.58,ABIERTA,Jan,Pereira
162,SIN000162,23,23,23,2021-08-31,Barcelona,True,4427.71,ABIERTA,Jan,Pereira
163,SIN000163,23,23,23,2021-07-23,Madrid,True,5372.27,EN_TRAMITE,Jan,Pereira
164,SIN000164,24,24,24,2023-12-25,Valencia,True,6449.13,ABIERTA,Jan,Pereira
165,SIN000165,24,24,24,2021-04-01,Barcelona,True,6899.05,EN_TRAMITE,Jan,Pereira
166,SIN000166,24,24,24,2021-04-04,Madrid,True,5556.92,EN_TRAMITE,Jan,Pereira
167,SIN000167,24,24,24,2024-12-11,Madrid,True,6685.08,ABIERTA,Jan,Pereira
168,SIN000168,24,24,24,2021-08-18,Madrid,True,7604.57,EN_TRAMITE,Jan,Pereira
169,SIN000169,25,25,25,2020-05-14,Barcelona,True,6275.91,EN_TRAMITE,Jan,Pereira
170,SIN000170,25,25,25,2020-09-08,Barcelona,True,5101.01,ABIERTA,Jan,Pereira
171,SIN000171,25,25,25,2022-05-26,Madrid,True,4320.58,EN_TRAMITE,Jan,Pereira
172,SIN000172,25,25,25,2024-09-22,Valencia,True,4099.41,EN_TRAMITE,Jan,Pereira
173,SIN000173,25,25,25,2023-11-27,Madrid,True,7717.03,EN_TRAMITE,Jan,Pereira
174,SIN000174,25,25,25,2024-09-29,Valencia,True,6843.67,EN_TRAMITE,Jan,Pereira
175,SIN000175,26,26,26,2021-09-03,Madrid,True,3873.39,EN_TRAMITE,Jan,Pereira
176,SIN000176,26,26,26,2020-08-10,Madrid,True,5478.57,EN_TRAMITE,Jan,Pereira
177,SIN000177,26,26,26,2022-11-21,Madrid,True,4690.01,EN_TRAMITE,Jan,Pereira
178,SIN000178,26,26,26,2020-05-17,Madrid,True,5229.99,ABIERTA,Jan,Pereira
179,SIN000179,26,26,26,2020-05-05,Madrid,True,7271.31,EN_TRAMITE,Jan,Pereira
180,SIN000180,26,26,26,2022-05-05,Barcelona,True,5163.16,ABIERTA,Jan,Pereira
181,SIN000181,26,26,26,2021-10-09,Madrid,True,4995.88,EN_TRAMITE,Jan,Pereira
182,SIN000182,26,26,26,2024-09-24,Valencia,True,7934.89,ABIERTA,Jan,Pereira
183,SIN000183,27,27,27,2021-01-02,Valencia,True,3597.89,EN_TRAMITE,Jan,Pereira
184,SIN000184,27,27,27,2021-02-13,Barcelona,True,7777.66,EN_TRAMITE,Jan,Pereira
185,SIN000185,27,27,27,2023-11-06,Valencia,True,7573.4,ABIERTA,Jan,Pereira
186,SIN000186,27,27,27,2021-08-05,Valencia,True,4160.12,ABIERTA,Jan,Pereira
187,SIN000187,27,27,27,2023-04-25,Valencia,True,7300.36,ABIERTA,Jan,Pereira
188,SIN000188,27,27,27,2024-02-14,Barcelona,True,7512.33,ABIERTA,Jan,Pereira
189,SIN000189,27,27,27,2020-12-28,Valencia,True,6505.16,ABIERTA,Jan,Pereira
190,SIN000190,28,28,28,2024-02-25,Barcelona,True,6427.08,ABIERTA,Jan,Pereira
191,SIN000191,28,28,28,2022-10-20,Barcelona,True,4872.8,ABIERTA,Jan,Pereira
192,SIN000192,28,28,28,2020-04-27,Madrid,True,7462.0,ABIERTA,Jan,Pereira
193,SIN000193,28,28,28,2024-07-23,Barcelona,True,7379.35,ABIERTA,Jan,Pereira
194,SIN000194,28,28,28,2024-01-24,Madrid,True,4765.33,EN_TRAMITE,Jan,Pereira
195,SIN000195,29,29,29,2024-03-13,Valencia,True,7085.45,ABIERTA,Jan,Pereira
196,SIN000196,29,29,29,2022-04-24,Valencia,True,4432.73,EN_TRAMITE,Jan,Pereira
197,SIN000197,29,29,29,2024-08-12,Valencia,True,6696.83,EN_TRAMITE,Jan,Pereira
198,SIN000198,29,29,29,2021-08-18,Barcelona,True,5007.5,ABIERTA,Jan,Pereira
199,SIN000199,29,29,29,2022-01-26,Barcelona,True,6032.79,EN_TRAMITE,Jan,Pereira
200,SIN000200,29,29,29,2022-12-01,Valencia,True,3829.05,ABIERTA,Jan,Pereira
201,SIN000201,29,29,29,2020-11-13,Madrid,True,7637.33,EN_TRAMITE,Jan,Pereira
202,SIN000202,29,29,29,2024-05-18,Valencia,True,5224.77,ABIERTA,Jan,Pereira
203,SIN000203,29,29,29,2024-06-08,Madrid,True,4585.9,ABIERTA,Jan,Pereira
204,SIN000204,29,29,29,2024-09-09,Valencia,True,4622.42,ABIERTA,Jan,Pereira
205,SIN000205,30,30,30,2023-01-04,Valencia,True,7768.83,EN_TRAMITE,Jan,Pereira
206,SIN000206,30,30,30,2020-02-27,Barcelona,True,4069.03,EN_TRAMITE,Jan,Pereira
207,SIN000207,30,30,30,2023-06-09,Madrid,True,5386.16,EN_TRAMITE,Jan,Pereira
208,SIN000208,30,30,30,2024-03-27,Madrid,True,6696.39,ABIERTA,Jan,Pereira
209,SIN000209,30,30,30,2023-08-14,Madrid,True,4684.34,EN_TRAMITE,Jan,Pereira
210,SIN000210,30,30,30,2020-04-14,Barcelona,True,4005.54,ABIERTA,Jan,Pereira
211,SIN000211,31,31,31,2023-08-27,Valencia,True,3840.82,ABIERTA,Jan,Pereira
212,SIN000212,31,31,31,2023-10-26,Valencia,True,7790.08,ABIERTA,Jan,Pereira
213,SIN000213,31,31,31,2024-11-29,Valencia,True,5029.24,EN_TRAMITE,Jan,Pereira
214,SIN000214,31,31,31,2021-03-26,Barcelona,True,4537.19,ABIERTA,Jan,Pereira
215,SIN000215,31,31,31,2023-02-16,Madrid,True,6048.12,ABIERTA,Jan,Pereira
216,SIN000216,31,31,31,2023-10-27,Valencia,True,4959.22,ABIERTA,Jan,Pereira
217,SIN000217,31,31,31,2024-06-15,Madrid,True,5986.23,EN_TRAMITE,Jan,Pereira
218,SIN000218,31,31,31,2022-05-14,Madrid,True,4880.94,EN_TRAMITE,Jan,Pereira
219,SIN000219,32,32,32,2024-10-15,Madrid,True,6564.0,ABIERTA,Jan,Pereira
220,SIN000220,32,32,32,2021-03-14,Madrid,True,7407.59,EN_TRAMITE,Jan,Pereira
221,SIN000221,32,32,32,2021-05-03,Barcelona,True,3990.8,ABIERTA,Jan,Pereira
222,SIN000222,32,32,32,2021-12-15,Barcelona,True,7792.27,EN_TRAMITE,Jan,Pereira
223,SIN000223,32,32,32,2020-01-24,Barcelona,True,7245.1,ABIERTA,Jan,Pereira
224,SIN000224,32,32,32,2020-06-05,Madrid,True,6274.62,ABIERTA,Jan,Pereira
225,SIN000225,32,32,32,2022-03-10,Valencia,True,4360.34,EN_TRAMITE,Jan,Pereira
226,SIN000226,32,32,32,2023-05-11,Madrid,True,4671.85,ABIERTA,Jan,Pereira
227,SIN000227,32,32,32,2024-05-15,Valencia,True,4828.37,EN_TRAMITE,Jan,Pereira
228,SIN000228,33,33,33,2020-02-07,Barcelona,True,6038.46,ABIERTA,Jan,Pereira
229,SIN000229,33,33,33,2024-08-03,Barcelona,True,7714.84,ABIERTA,Jan,Pereira
230,SIN000230,33,33,33,2022-01-10,Barcelona,True,6684.44,EN_TRAMITE,Jan,Pereira
231,SIN000231,33,33,33,2020-05-28,Madrid,True,5945.94,ABIERTA,Jan,Pereira
232,SIN000232,33,33,33,2020-11-10,Barcelona,True,5995.66,EN_TRAMITE,Jan,Pereira
233,SIN000233,33,33,33,2022-06-24,Barcelona,True,4365.08,ABIERTA,Jan,Pereira
234,SIN000234,33,33,33,2021-09-27,Madrid,True,4015.63,ABIERTA,Jan,Pereira
235,SIN000235,33,33,33,2021-04-01,Madrid,True,4506.82,ABIERTA,Jan,Pereira
236,SIN000236,33,33,33,2020-09-27,Madrid,True,7891.5,ABIERTA,Jan,Pereira
237,SIN000237,34,34,34,2023-03-26,Valencia,True,7308.74,EN_TRAMITE,Jan,Pereira
238,SIN000238,34,34,34,2022-01-25,Madrid,True,6510.81,ABIERTA,Jan,Pereira
239,SIN000239,34,34,34,2021-05-20,Madrid,True,7726.32,EN_TRAMITE,Jan,Pereira
240,SIN000240,34,34,34,2022-04-11,Madrid,True,7919.81,ABIERTA,Jan,Pereira
241,SIN000241,34,34,34,2021-07-11,Madrid,True,6398.41,EN_TRAMITE,Jan,Pereira
242,SIN000242,35,35,35,2024-04-08,Madrid,True,4926.68,ABIERTA,Jan,Pereira
243,SIN000243,35,35,35,2020-03-09,Madrid,True,5504.97,ABIERTA,Jan,Pereira
244,SIN000244,35,35,35,2022-01-17,Madrid,True,7576.62,EN_TRAMITE,Jan,Pereira
245,SIN000245,35,35,35,2023-07-04,Barcelona,True,3564.51,EN_TRAMITE,Jan,Pereira
246,SIN000246,35,35,35,2024-06-08,Valencia,True,3994.83,ABIERTA,Jan,Pereira
247,SIN000247,35,35,35,2022-02-01,Madrid,True,3989.13,EN_TRAMITE,Jan,Pereira
248,SIN000248,35,35,35,2021-09-28,Valencia,True,4684.34,ABIERTA,Jan,Pereira
249,SIN000249,35,35,35,2023-02-13,Barcelona,True,3664.58,ABIERTA,Jan,Pereira
250,SIN000250,36,36,36,2020-01-02,Valencia,True,3717.49,EN_TRAMITE,Jan,Pereira
251,SIN000251,36,36,36,2022-04-06,Valencia,True,7486.62,ABIERTA,Jan,Pereira
252,SIN000252,36,36,36,2020-08-12,Barcelona,True,4417.85,EN_TRAMITE,Jan,Pereira
253,SIN000253,36,36,36,2023-05-28,Valencia,True,5845.11,ABIERTA,Jan,Pereira
254,SIN000254,36,36,36,2022-04-19,Madrid,True,5607.18,ABIERTA,Jan,Pereira
255,SIN000255,36,36,36,2024-04-02,Valencia,True,5106.3,ABIERTA,Jan,Pereira
256,SIN000256,36,36,36,2022-04-07,Barcelona,True,6765.82,EN_TRAMITE,Jan,Pereira
257,SIN000257,36,36,36,2024-09-04,Valencia,True,4920.52,EN_TRAMITE,Jan,Pereira
258,SIN000258,36,36,36,2022-12-31,Barcelona,True,6895.32,ABIERTA,Jan,Pereira
259,SIN000259,37,37,37,2023-11-24,Barcelona,True,5948.33,ABIERTA,Jan,Pereira
260,SIN000260,37,37,37,2023-07-23,Valencia,True,4131.27,ABIERTA,Jan,Pereira
261,SIN000261,37,37,37,2021-11-24,Barcelona,True,4654.05,EN_TRAMITE,Jan,Pereira
262,SIN000262,37,37,37,2024-05-27,Madrid,True,3530.63,EN_TRAMITE,Jan,Pereira
263,SIN000263,37,37,37,2023-12-21,Barcelona,True,5759.62,ABIERTA,Jan,Pereira
264,SIN000264,37,37,37,2021-06-05,Madrid,True,4160.68,EN_TRAMITE,Jan,Pereira
265,SIN000265,38,38,38,2022-05-21,Madrid,True,3534.81,EN_TRAMITE,Jan,Pereira
266,SIN000266,38,38,38,2024-09-08,Valencia,True,5531.53,EN_TRAMITE,Jan,Pereira
267,SIN000267,38,38,38,2023-04-16,Valencia,True,4070.16,ABIERTA,Jan,Pereira
268,SIN000268,38,38,38,2022-12-23,Barcelona,True,5249.71,EN_TRAMITE,Jan,Pereira
269,SIN000269,38,38,38,2022-06-30,Barcelona,True,6170.86,EN_TRAMITE,Jan,Pereira
270,SIN000270,38,38,38,2023-12-12,Valencia,True,4278.59,ABIERTA,Jan,Pereira
271,SIN000271,38,38,38,2021-07-02,Barcelona,True,5774.53,ABIERTA,Jan,Pereira
272,SIN000272,39,39,39,2023-06-14,Valencia,True,3963.58,EN_TRAMITE,Jan,Pereira
273,SIN000273,39,39,39,2022-02-12,Valencia,True,7170.98,EN_TRAMITE,Jan,Pereira
